,couple,attribute,comparison,t_stat,p_value,test_type,f_stat
110,couple7,energy,male_aroused_vs_female_aroused,4.934821168632445,1.0083947303469444e-06,t_test,
111,couple7,alignment,male_aroused_vs_female_aroused,0.11677367784419714,0.9070625582408742,t_test,
112,,pitch,,,2.632828059676985e-97,anova,79.97668013010268
113,,loudness,,,1.8531434458437955e-41,anova,34.58708776691523
114,,jitter,,,0.92456694210112,anova,0.32434534543579235
115,,shimmer,,,0.014733629510591388,anova,2.6393303131796118
116,,speechrate,,,0.0,anova,350.0440560000686
117,,timbre,,,3.3920789014837093e-43,anova,35.984590418290054
118,,energy,,,3.537677627749405e-69,anova,56.97492709906297
119,,alignment,,,0.2738828526138737,anova,1.25674844202972
